x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
9.00000000000000022204460492503130808e-01,6.81295472580392680988535836004780064e-01,3.81528495845192752263263839705584937e-01,-1.07674441842558554781209807611163818e+00,3.48161708468213954263094476891199877e-01,-2.75604374975855796788683937011923880e-01,-7.30528834923581779310819661292384786e-02,5.12645318948807967230628217516526255e-03,5.04340186400134450880304376430647735e-02,-5.68669218295015235252652996823272917e-02,-1.01490617648619854850034205799705662e+00,1.12057735891559510727071571212068521e+00,-1.21121182429396685596700872178387359e-01,6.44358553539241776230581222286739918e-02,-5.25154186606870260161438524819992575e-01,4.60168331252946059845421779253120991e-01,3.41185261005690313752794085270987838e-02,-5.38475147020080843168610611865207777e-03,-3.01837746303682215426306232095768346e-02,-9.91041458254196538923963544220896438e-01,2.52670091776935817699957463131015691e-15,3.64253944005844540682229250267630308e+00,1.20078094015046458556489076805199958e+00
1.00000000000000000000000000000000000e+00,5.74708243749089100517282409859928472e-01,4.95006301627377301901374037208745470e-01,-1.08517999537646652969374934252003263e+00,3.44170897447282360063280046411033439e-01,-3.17717799898824606103773053546390480e-01,-2.70036475484577766866191989425698365e-02,9.16822655550321895243277483071035702e-03,4.90544512937583783288834791298029016e-02,-5.96741278492615959091669847529230884e-02,-1.10691876169810416848210298492444691e+00,1.13965081670686983245427697177363635e+00,-4.81820550087657907985012049039497134e-02,-1.50257319647531897566750032518898851e-01,-3.11069554259269706259661228915949498e-01,4.60776873906801581133452638096650348e-01,4.66288189671266504869969409966201594e-02,-2.20543747166517401813142533315029090e-02,-2.60244442504749089047200084662473475e-02,-2.31599083236941494234883975877892226e+00,3.36528467207896580455305373588422695e-15,4.62546426246355666396761612397738899e+00,1.26135124421848781171584403962741105e+00
1.10000000000000008881784197001252323e+00,4.62168196701081544015797759851404378e-01,6.07255784982784118251335633441165005e-01,-1.08643443168386580225702078379401310e+00,3.17566442554813108946030031915586757e-01,-3.37277574581636394237004798512014476e-01,1.91055820268232602934217806905362032e-02,1.43841402892963622058126697561126829e-02,4.60974926244682853738980870296164097e-02,-6.20780829137646460704836385064516079e-02,-1.13228681955385221103447065197237589e+00,1.09368859924299229593919832262245635e+00,2.31482203108597882689451112951587302e-02,-3.80848326929786108372544991843480997e-01,-8.11431546717741531221803941874659266e-02,4.61441481601560238801766762692748441e-01,5.71087046330436635851359059059173578e-02,-3.65068263362147517865774380450758587e-02,-2.20518782968289103975957886619715480e-02,-2.22319810524377636795634316513314843e+00,3.65328306632167507003524995660591146e-15,4.49097062619451718239036001031606215e+00,1.40548241855179308075051025194411397e+00
1.19999999999999995559107901499373838e+00,3.50301212741717799112163315945952935e-01,7.11618734405692761111424626948331770e-01,-1.08047539714741071292826982844581510e+00,2.68902619798756479797893454781036385e-01,-3.34847415898449072388701650083652364e-01,6.52842460996925653228144295687599371e-02,2.04388775137391017594667244040912350e-02,4.18962659611830795422065637307481822e-02,-6.40765934749221796553683207838745998e-02,-1.09704032415790481951946590629696605e+00,9.84866572680343895727608122159353277e-01,9.67237514775607969655305660828513823e-02,-5.85005928294916997815541710976532726e-01,1.22398792225498597998054578463103749e-01,4.62057136069418377124528509175230711e-01,6.31195055768944890201467697409025587e-02,-4.67296536656015407357528307611725923e-02,-1.78398519112929468834312597808601056e-02,-6.38472279613063964376351577811874449e-01,4.27324606962772555262019706719049748e-15,3.40680571327281019604652904178715145e+00,1.51236251163641867525891990280546143e+00
1.30000000000000004440892098500626162e+00,2.43774581962131691299213576060161933e-01,8.03014632136286316142158007268031360e-01,-1.06688966409841817286084796392980823e+00,2.02378741418173469558572599449152971e-01,-3.14569986670236636299704074309535271e-01,1.11475695252063137202696929298561767e-01,2.68310058721029449521412209770439041e-02,3.69043324551013441977177643990054447e-02,-6.56217883272042873664761689533971731e-02,-1.03138740659809484236232555250651880e+00,8.39645133881219406941437815704777087e-01,1.76292272716875308594560518746977862e-01,-7.35614434396973639933804906606583780e-01,2.73674506409817335726363991860520730e-01,4.61389927987156281514482291407865868e-01,6.38656684433246048229226901616576512e-02,-5.24188527249532852277650377465686888e-02,-1.28968157183713181941949732162190925e-02,1.69623062996338513919170054577989504e+00,6.93592883558558313680630093489867685e-15,2.49014105646216649801955570980624683e+00,1.57786009370155971561954618227585812e+00
1.39999999999999991118215802998747677e+00,1.43935351496493377972386648314266248e-01,8.79319052370756495254008267401894441e-01,-1.04489985386725005136066579136786271e+00,1.23713701452959822583948599246195299e-01,-2.81920337453044239858838802622292637e-01,1.57436086000084385466014877986312108e-01,3.30533811578414350585863486208819109e-02,3.15274646424974818453999639134472460e-02,-6.66122958003389149835256470399897676e-02,-9.67937108085809671731217620116876105e-01,6.87130914472268107188322044297706062e-01,2.65356193613541437716568357764407111e-01,-8.28593012306002471428186152942195911e-01,3.71160137898285196792524124779924646e-01,4.56882874407717251942703404824074227e-01,5.98570917372862321156164247675058968e-02,-5.46668434324584766938563960349460443e-02,-6.64024830482775402079734953368992314e-03,3.36508828699750794921641272594570182e+00,6.15969720333791667780302271708225534e-15,2.09325040368203676871996293108407381e+00,1.61143786789176907888105694607765682e+00
1.50000000000000000000000000000000000e+00,4.94006303414081965393916886483500080e-02,9.40811543499942013427325937615829921e-01,-1.01340262384135040081578299696596688e+00,3.83182852814776610337947332269255500e-02,-2.41729449784713653917506518002520396e-01,2.02585614503235958804395679557844938e-01,3.86684896810449948749671684435675056e-02,2.60382314949934325463194378946457399e-02,-6.68831711760384253637480917721863896e-02,-9.27653288744106219290565130359418495e-01,5.45349007090277685987695777934430923e-01,3.66854281653828406476542134370226084e-01,-8.71795662152459286994766775692522434e-01,4.26939092578430512853094997772497221e-01,4.44306569574028751448713154581827549e-01,5.18144058080923433296979639635306496e-02,-5.48839157299652615538677343121233971e-02,1.61950992187291962513244954746267174e-03,4.08766167357895404688150620131636970e+00,4.59388446935584107008259170364837014e-15,1.97618884492923420791011991864605952e+00,1.62313341317802601736334564714350041e+00
1.60000000000000008881784197001252323e+00,-4.26587925010990179525095613360838912e-02,9.88979584946693466874242057114034340e-01,-9.71056242445594652485592361529823242e-01,-4.92551123515845476606289673548577150e-02,-1.97446723450934170878354231021733043e-01,2.45821285802518682189226313330876315e-01,4.32928298632897362132450874333563113e-02,2.05815004488416861560084997298231983e-02,-6.61957803121314201746372235254652925e-02,-9.18974392021617837500218475345945053e-01,4.21073659856094379705995827490963692e-01,4.82450732165523330967895429800219730e-01,-8.73098387078320568422633558091334795e-01,4.55177186673632577979136715167130434e-01,4.17371200404687967750538219586006794e-01,4.00541856192899249381854062731177067e-02,-5.41616015062156715908650135828296060e-02,1.26574158869257480536422865085818880e-02,4.17622265231357880921336800383869559e+00,4.77244871313706961074960430443237853e-15,1.93338950989729944692973478805795299e+00,1.71297247960897659472031915161545961e+00
1.69999999999999995559107901499373838e+00,-1.35427915347815662303851226260406835e-01,1.02561684224457928682818075132171648e+00,-9.16469376896763840802983885863269654e-01,-1.35003074198343330933797136940676724e-01,-1.51233769168584858809897597837580022e-01,2.85301293366928151123497069904577703e-01,4.65528060342030369727730129044820496e-02,1.52146176363735473265167554877376802e-02,-6.42338736705765819675955556828181516e-02,-9.41061413844874593862168495016112475e-01,3.14425913919176126742023835172520042e-01,6.11185499925698340293817441788830031e-01,-8.35275481084635974327237505649461762e-01,4.67096271828200279741281141999685626e-01,3.67629209256435671892997740311577942e-01,2.44970380867030919786565190605805158e-02,-5.31673829570023153147449078946440048e-02,2.72203448702992247370510680329334762e-02,3.85858811492209352600468719174386933e+00,5.25698621611902925503631775829578091e-15,1.86915871709130423366791830259310218e+00,1.81616394855457428098028818663068340e+00
1.80000000000000004440892098500626162e+00,-2.31624636166208885844858420329232333e-01,1.05236029387840571591213343839624185e+00,-8.48561107712197059060723873919056673e-01,-2.14937309842173944362044028339455443e-01,-1.04315818082011789108969154219348838e-01,3.18262577924185692580374737857160084e-01,4.80620116216244361048840434641907819e-02,9.94535211697324704550931607764471847e-03,-6.06188137385976806816212977607466677e-02,-9.85498787550523692444798052128977498e-01,2.22617903285211496180340950307826495e-01,7.47430884265312069438129883766388794e-01,-7.56217758513110184654980677163213581e-01,4.70268209212262206934481362729947450e-01,2.85399549300847955027540691095068275e-01,5.05302350238798452894055702014248086e-03,-5.22466575596739403265304354266619045e-02,4.57436340572859571985525576053894606e-02,3.23664769247386108208530686169979163e+00,5.18863005931798343943304799864001935e-15,1.70453272466514273612160277164989966e+00,1.92223409687724894395241241662268097e+00
1.89999999999999991118215802998747677e+00,-3.32747569939368770828917065488412681e-01,1.07051162726115007960972510316744640e+00,-7.67134507321781550489051388581166508e-01,-2.84760365611092270802706352597362943e-01,-5.73137664100207379101219267348892731e-02,3.41028582021112965551749054802643130e-01,4.74496442801018505989318007384118530e-02,4.75802203857425871428157310741475330e-03,-5.49641163186761067073634629930503379e-02,-1.03630133557129496843297457726777194e+00,1.41945204327682595474352663486474179e-01,8.78906131243612246132294695726535235e-01,-6.32754653920911959828056633251925032e-01,4.69365013938833155346078728904745870e-01,1.62839639982078781789019281008981714e-01,-1.77606643244604544463454608716745121e-02,-5.15398258411594320320916537913245107e-02,6.78504901656198878793997938618690943e-02,2.46280583613700276846003589525935240e+00,5.61238268787821101989466185417959068e-15,1.36686277311374652675892481156168696e+00,2.02270905282341685187047869137916356e+00
2.00000000000000000000000000000000000e+00,-4.38355780743618089160135155489182647e-01,1.08099386519417791244801764625936539e+00,-6.73553534450560077710920336722399553e-01,-3.40072706074255532649438448149083578e-01,-1.04885037407199881538233219262093297e-02,3.49460659814975475371741765717719145e-01,4.44544186105050398863807248660741636e-02,-3.70328125600551905696972152520182158e-04,-4.69855404849044852377559927890903780e-02,-1.07120814143709709016664818381212209e+00,6.86145021883675652882269829312927911e-02,9.87143639248729398052093982826066515e-01,-4.67247366040152188697902694979868294e-01,4.67046976813049708368293038752067857e-01,-3.49610772897542363348967110397522482e-04,-4.21891779471861706040619065015340446e-02,-5.10617395254778791595090313345368435e-02,9.18009174726640511645336170349408995e-02,1.84276567415983427711267950144247152e+00,5.69421490533681580752401012987150422e-15,9.26207354155931775111451816137830896e-01,2.10613295371031459311585386499618903e+00
2.10000000000000008881784197001252323e+00,-5.45706602936190486189462644799131768e-01,1.08435785912485904876672012383694262e+00,-5.71111706188668829715089820040115241e-01,-3.77265629955916425370183135207456763e-01,3.60928875841274339145067310606722542e-02,3.40017192371788943753715619961246368e-01,3.90598133757403475359537109413089272e-02,-5.45969967671759609462942370630358730e-03,-3.66465636990227485613186782388543958e-02,-1.06800983219040132723510332930270457e+00,-1.01062284531324388166387078352160849e-03,1.05357045503571444429043998203146499e+00,-2.73830842796828041281173521438698082e-01,4.64614829641003062479322751330564840e-01,-1.91333986844175043891107853230064831e-01,-6.51652972070894334377774036416221808e-02,-5.07424803049699406106912770045891241e-02,1.14457777512059375449431359845081358e-01,1.59935973519346963378495729557471350e+00,4.22439148516080034718684625979210209e-15,6.87038559760053825849131792901336101e-01,2.16163752526125006899221596521513083e+00
2.20000000000000017763568394002504647e+00,-6.50281796762027140704565358253851624e-01,1.08079935870738421045952497804098768e+00,-4.64523011945357349607586455839526399e-01,-3.94747881678885425509236031104133828e-01,8.24421026383325183970085401363057799e-02,3.11095229040552857139825926954325391e-01,3.15826197391641417676280097442430118e-02,-1.05194020497625995477584814148507035e-02,-2.42546676894015392027860702615539722e-02,-1.01515310929132170786288174494918313e+00,-7.04038730016585722946217742094571849e-02,1.07010698229298015333117630110388046e+00,-7.77161397673167221162225291816870523e-02,4.62384205307999579504928915189524868e-01,-3.85218065540682880081665009346036082e-01,-8.33537987431794519081080098799958518e-02,-5.04376980242678988141287172025885346e-02,1.32341496767447352123199406281454584e-01,1.75270209874776328184964313550153747e+00,2.97478646068835074509078624230008837e-15,8.72854494777452043532448834001706627e-01,2.18454951276266690061782831757065749e+00
2.29999999999999982236431605997495353e+00,-7.47247497237380345712772898593476972e-01,1.07017241576922102464875819054301556e+00,-3.58475368531840971503406623052014776e-01,-3.93598430164732840539344596653434354e-01,1.28559459868916846920297831882826233e-01,2.63773420295815941376204420929140731e-01,2.26166048820657345279396382421889013e-02,-1.55401053729691107628586423134616841e-02,-1.04129495090966206109196887892015485e-02,-9.18032471693180595702927158432167589e-01,-1.42935069265660281093940968159859855e-01,1.04551754095884074997054090853726745e+00,9.51109091366674087203464436576797336e-02,4.59814983977368682664404813072112596e-01,-5.55475893114036114077709880067990511e-01,-9.47932846865313576140339107746918002e-02,-4.99149036387613513922872345759618158e-02,1.43258188325292710407283824549523904e-01,2.31774521426150326153248215632629581e+00,3.06489226182844715331402881963087698e-15,1.31196203467004854104795818150391986e+00,2.17972805264284599178561476745476870e+00
