x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
8.99999999999999931998839741709161899e-03,9.74191478783106954269921444601692623e-01,-9.65790096957565889407651623282175799e-01,-8.40138182554106486226982131951675960e-03,-2.39182291737384935410793967771315056e-01,2.46973037695849787005594156928294222e-01,-7.79074595846485159480018915697915079e-03,4.55342355518321840416455154908854712e-01,4.77190074572057202959184842598848163e-01,-9.32542430090378997865377772073286066e-01,4.35025278181010236360617367757230245e-01,4.29547775825517363126216260316615345e-01,-8.64563054006527644997095853508262591e-01,5.54001289287953113671392202377319336e-14,7.66849256284350110018510467379223302e-12,1.14577021766088908705238935681336443e-02
1.00000000000000002081668171172168513e-02,9.74646225891718896120153844650005247e-01,-9.65312289730533056010175803292822722e-01,-9.33393616118584010997804135718246073e-03,-2.38747127263693823183957561877661670e-01,2.47402420392866965554142410807446747e-01,-8.65529312917314237018484892978506068e-03,4.54145467487281580355796480734772761e-01,4.78417983620998409006854900203594790e-01,-9.32573451108279943852389155503950550e-01,4.35310009036626893466771019127214216e-01,4.29223925829470603731860556340046740e-01,-8.64523934866097542708893800901678149e-01,6.81676937119846115820109844207763672e-14,8.52151326628606627874377580426153110e-12,1.27293543989082363204756731533962011e-02
1.09999999999999993616217608405349893e-02,9.75099776929666247042439828639807712e-01,-9.64833253782225123936510623959743996e-01,-1.02665231474411231059292046800636514e-02,-2.38311679037995988046642743583221280e-01,2.47831478161008063870454992901525401e-01,-9.51979912301207582381224931830410427e-03,4.52950214209156331089858091742982242e-01,4.79647516964769401185662424733107467e-01,-9.32607731173925686765258291041672708e-01,4.35592783838316544486419709573497865e-01,4.28897916330463725291523633192443989e-01,-8.64480700168780315288205568200358662e-01,8.20454815197990683373063802719116211e-14,9.37309779775057081931671105117911254e-12,1.40010025669394782416032896321667067e-02
1.20000000000000002498001805406602216e-02,9.75552133531755617062445704684953041e-01,-9.64352987488827114878535105472553109e-01,-1.11991460429285021839105992123999965e-02,-2.37875949011418814762577843703085096e-01,2.48260208835536612482455873499383747e-01,-1.03842598241177977198780297962986340e-02,4.51756595784991714317124228571711031e-01,4.80878673636260618434167970109318249e-01,-9.32645269421252287241029973246612374e-01,4.35873612434123098244992121954163759e-01,4.28569736856650948227912747893075745e-01,-8.64433349290774091983167095281656505e-01,9.71445146547011972870677709579467773e-14,1.02265330275210099693421922769008967e-11,1.52726462731783366871818330423593579e-02
1.29999999999999994032551242639783595e-02,9.76003297332875676613550595461314955e-01,-9.63871489227513432916023778798637152e-01,-1.21318081053622436975268166626777389e-02,-2.37439939125256772608653553635049751e-01,2.48688610241229828826285410767825489e-01,-1.12486711159730562176318571327757208e-02,4.50564612277910886681154891836537616e-01,4.82111452623763789489045941751251430e-01,-9.32686064901674630659938608153372045e-01,4.36152504641826984269914004425548387e-01,4.28239376907265851750696109240734858e-01,-8.64381881549092881530872339100700247e-01,1.12909681604378420161083340644836426e-13,1.10748510012439014716049833612299220e-11,1.65442851093862489109120872399216751e-02
1.40000000000000002914335439641035919e-02,9.76453269967959377724314535444493833e-01,-9.63388757376492622620291802319791722e-01,-1.30645125914667551040227331247021106e-02,-2.37003651311001698466232679658817847e-01,2.49116680192349738930109494724484972e-01,-1.21130288813480404638768150656671416e-02,4.49374263713401608544597400535766420e-01,4.83345852870652922337596006035050613e-01,-9.32730116584054485371931181136400321e-01,4.36429470248906222055121337510335358e-01,4.27906825952706400096572689269872694e-01,-8.64326296201612667661956252214624861e-01,1.32893696047631237888708710670471191e-13,1.19277957207316294974991393925694540e-11,1.78159186665455201992180889192241011e-02
1.49999999999999994448884876874217298e-02,9.76902053071946461565682776223749611e-01,-9.62904790315052446838455396697310567e-01,-1.39972627568940147272273795264391090e-02,-2.36567087490373117966661910900256672e-01,2.49544416492614385256624048793264099e-01,-1.29773290022412672899621378930074435e-02,4.48185550079601894470750544912172539e-01,4.84581873275063954456798010009505898e-01,-9.32777423354665803417286329487261821e-01,4.36704519012499240066565992902227274e-01,4.27572073434622237552491525779265549e-01,-8.64266592447121523129319744115909824e-01,1.52433621281033993000164628028869629e-13,1.27801175222529697767970726310431812e-11,1.90875465347944764382681626102566952e-02
1.60000000000000003330669073875469621e-02,9.77349648279746250939007559249104188e-01,-9.62419586423605285494719554622785551e-01,-1.49300618561409654442880046263186374e-02,-2.36130249575348602951199367731792551e-01,2.49971816935169122984677716129982150e-01,-1.38415673598205200334783483981895824e-02,4.46998471327584244184245724508838125e-01,4.85819512689573069476897492487612474e-01,-9.32827984017157268150880991562033983e-01,4.36977660659369424602296789432531331e-01,4.27235108766004275563310518300393765e-01,-8.64202769425373745675869533167342097e-01,1.72417635724286810727789998054504395e-13,1.36307887416266594328678164884208025e-11,2.03591683033625958643142439541406929e-02
1.70000000000000012212453270876721945e-02,9.77796057226200726284812247378728977e-01,-9.61933144083733856739361551983704382e-01,-1.58629131424668695454506953950245320e-02,-2.35693139468194163525388815389627502e-01,2.50398879302558007033802543871540025e-01,-1.47057398343638435084137284819125392e-02,4.45813027371638452926160471488939289e-01,4.87058769920873686118876486135362152e-01,-9.32881797292512093534774732189884440e-01,4.37248904885871378759291138271479888e-01,4.26895921331276595356467670858695339e-01,-8.64134826217148019626021034564592035e-01,1.96953564568502770271152257919311523e-13,1.44826952645037412144349345316506598e-11,2.16307835605057015293528621668883716e-02
1.79999999999999986399767948341832380e-02,9.78241281546047883791208940664152553e-01,-9.61445461678237261770122541029717726e-01,-1.67958198678106220210863996344347640e-02,-2.35255759061494673007589974315146311e-01,2.50825601366695272158940414866708257e-01,-1.55698423052005991513504405515619387e-02,4.44629218089553000260336608490855651e-01,4.88299643729452125469431941347557253e-01,-9.32938861819005080219506324403995902e-01,4.37518261357918871897759409081231588e-01,4.26554500486390689646850057874588420e-01,-8.64062761844309607054871692390236817e-01,2.20934381900406151544302701950073242e-13,1.53347387089628067760509807733123728e-11,2.29023918934410930514644633149146102e-02
1.89999999999999995281552145343084703e-02,9.78685322873885374180007254987876625e-01,-9.60956537591177354644547533514929296e-01,-1.77287852827080195354597214729473291e-02,-2.34818110238184324090914389466174952e-01,2.51251980888836908466281175753332530e-01,-1.64338706506525843753667862871575931e-02,4.43447043322895016526860384755366249e-01,4.89542132829261962874273406302369908e-01,-9.32999176152156933890871565623319156e-01,4.37785739710954460132125917390035190e-01,4.26210835558922067114953569528278878e-01,-8.63986575269876572757341712352731069e-01,2.46025422256934689357876777648925781e-13,1.61883981290158347527499817964665360e-11,2.41739928882827477540917726628322271e-02
2.00000000000000004163336342344337027e-02,9.79128182844134420747816553880093945e-01,-9.60466370207925438395423450061286602e-01,-1.86618126362089823523931038188073430e-02,-2.34380194871577114557217910500061290e-01,2.51678015619552334724886150712543410e-01,-1.72978207479752201676682402124821198e-02,4.42266502877288826275597632052711747e-01,4.90786235887397070950684112947022996e-01,-9.33062738764685851716019519565318030e-01,4.38051349549920758516287630505898835e-01,4.25864915848169243480595232830735507e-01,-8.63906265398090047507145088771051343e-01,2.73892020175026118522509932518005371e-13,1.70400413411583323419153148427120556e-11,2.54455861299764767025077816242628614e-02
