x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
9.00000000000000022204460492503130808e-01,7.03711702883893075092988877297927745e-01,3.92732307845867129481495689866112538e-01,-1.09644401072976020457448456716404028e+00,3.57361535573816279140620124965565619e-01,-2.72682243691572339552461074418737829e-01,-8.46792918822439395881590505468278258e-02,2.15111216153308749145879337371225553e-02,1.58714107821670754572745061232463385e-01,-1.80225229437001629487332994969585941e-01,-9.63909934869395366202642278950737605e-01,1.14105253775291412018595339562369985e+00,-1.77152602883518834210007713455904775e-01,8.22575646999477809560348236745107107e-02,-5.29603777928553447643576997007974043e-01,4.47356213228605621177279947899046523e-01,1.02390659399016632386546007319614270e-01,5.34521121472011387506189579066496955e-03,-1.07735870613736746261607903110279239e-01,1.40687979962868903172079626529011875e+00,3.53289824190918205615136839103606796e+00,1.16065661697954459189406308643669076e+00
1.00000000000000000000000000000000000e+00,6.02485609432902147358438939687739364e-01,5.08315345860312955620586078517029031e-01,-1.11080095529321510297902501820476820e+00,3.55990729374220694856459926968637712e-01,-3.16119381058585349986227672124970449e-01,-3.98713483156353448702322548436672322e-02,3.34833702410266430410522163996330824e-02,1.56916278069501837642741866630936316e-01,-1.90399648310528480683794083030569374e-01,-1.05172327792891224271668464232221457e+00,1.16231602914176840889297229853250279e+00,-1.10602751212856246402984252993230718e-01,-1.15280997033134190670341698714401482e-01,-3.33455964799408749368561833746609464e-01,4.48746961832542894528641307026594137e-01,1.36943397685394624336181193082200742e-01,-4.10150405810016557983847646236575628e-02,-9.59283571043929685377964284585431672e-02,3.39314016274210206169925641006557271e-01,4.26520664164525488817725808276152431e+00,1.24988278537705298194875680040994334e+00
1.10000000000000008881784197001252323e+00,4.95403111464015516571835907581683385e-01,6.23231997519742572842679358820498928e-01,-1.11863510898375808941451526640218251e+00,3.33736212445916994952130750514588231e-01,-3.38803231790432274933985109389347242e-01,5.06701934451527998185435887475901078e-03,4.87493684246125525859870842529962341e-02,1.50680642980484955858090194131330486e-01,-1.99430011405097508444077278384326744e-01,-1.07933765361199489824263804250620733e+00,1.12552490551541164758042023396749220e+00,-4.61972519034168295644787882442276323e-02,-3.29479386394628567010284178389617764e-01,-1.20546572502204999896988840318849514e-01,4.50035958896833521397010793274050228e-01,1.66999373679499437663789581749866792e-01,-8.23065623390897823565995130948490478e-02,-8.46928113404096553071900686550177446e-02,3.57078821699861603811143595521571115e-01,4.20412386736017145606110533811931908e+00,1.35833770335887378346368936502806042e+00
1.19999999999999995559107901499373838e+00,3.88542244960095636953325038662519003e-01,7.31473293391437810282354651484928096e-01,-1.12001553835153344723567969014744729e+00,2.90779905264409037046406715990349373e-01,-3.40912808013315502374568874433770531e-01,5.01329027489064653281621584434211343e-02,6.65119638090060500534180015459078973e-02,1.40812227307843569895996371550837936e-01,-2.07324191116849619949414373096745810e-01,-1.05003241548095756966034590689651796e+00,1.03109986647570334187598878715933505e+00,1.89225490052541475576605229542404174e-02,-5.23562540916164418050972082676627207e-01,7.23421655032776730648707923986152411e-02,4.51230375412886699475839064843594916e-01,1.86070656560540377900331368578306942e-01,-1.13035689276373856675508366135199038e-01,-7.30349672841665212248230024431079154e-02,1.54133970829515831724165764171630144e+00,3.41514952423500296099372009217026355e+00,1.45563668291029863292375106852338011e+00
1.30000000000000004440892098500626162e+00,2.86481888328195778630898724971814588e-01,8.28260225201396440270467317026161339e-01,-1.11474211352959221890136604199797573e+00,2.30561146680285430165954106863074570e-01,-3.25844893500027039653621308590169848e-01,9.52837468197416094876672017270953141e-02,8.55100401194993477475250687888829115e-02,1.28478145422464481627984119787845095e-01,-2.13988185541963829375509188576728030e-01,-9.88265395621264020674204228650234927e-01,9.00994955938475262658839178829980970e-01,8.72604396827886777886684530373113899e-02,-6.72243257710641924637235873836388004e-01,2.20714520000959973854794715245327423e-01,4.51538737709681905272178933156643797e-01,1.91670588076282187967994045274073831e-01,-1.31759600514384130121664722994442790e-01,-5.99109875618980578463293222796310410e-02,3.41256265365684463564122097523068078e+00,2.69892543584704653794752541102798193e+00,1.52989467203472449498252389349828596e+00
1.39999999999999991118215802998747677e+00,1.91031953570751752168207496528660171e-01,9.11355977912754298903028725934301559e-01,-1.10238793148350605107123622246296173e+00,1.58036423816517093119549145602068875e-01,-2.98395650561595159051243674636303105e-01,1.40359226745078065931694529034234254e-01,1.04436229019787563031645978948820649e-01,1.14785064054264810119606577157497766e-01,-2.19221293074052373151252556106318439e-01,-9.21868685906153995761303666498916126e-01,7.61037296467680786211810477839761585e-01,1.60821389438473129322796591876211913e-01,-7.70152211117828940406309842403183969e-01,3.20763192171132817783922284791074138e-01,4.49399018946696077112125332177692926e-01,1.85008677202111751789854870268146915e-01,-1.40774989155690642598524839648634189e-01,-4.42336880464211091913300306195127085e-02,4.80848106656935991853885070668184198e+00,2.36836995604044655149853824345622342e+00,1.59234009751763716981181624374224866e+00
1.50000000000000000000000000000000000e+00,1.01635573578201151919579475338882285e-01,9.80722408001016763924866566212487912e-01,-1.08235798157921791584444604155137058e+00,7.79992467185642713022940960135313542e-02,-2.63004056294717636202126115364345424e-01,1.85004809576153364899832019350814058e-01,1.22183480307060595753978868882480159e-01,1.00529755277849703731426430336785982e-01,-2.22713235584910299485405299219266166e-01,-8.69295035412869774113480668877363243e-01,6.28357766250153941199064733601227186e-01,2.40927269162715752687719338493193430e-01,-8.24034216271576350023792857882820260e-01,3.81550681755740784614337606538439493e-01,4.42493534515835519899193025909964055e-01,1.68475266171066466356993190747767556e-01,-1.43567255328246004212479959037752269e-01,-2.49080108428204621445132317100152897e-02,5.45142362499034938139175210380926728e+00,2.26964399735659072883391188165514689e+00,1.64146530810279777160714993408158755e+00
1.60000000000000008881784197001252323e+00,1.64482008106854311180483433881455451e-02,1.03752096243294542924216262400970693e+00,-1.05396916324363086036021096739785247e+00,-5.60668642367739259637137735972807704e-03,-2.22992021839285927911956885948182783e-01,2.28598708262963320508328263307910860e-01,1.37866333281767457794984079598924232e-01,8.61807212771181426931339171289812320e-02,-2.24047054558885600488117996727905537e-01,-8.38240818071548644321427996609020371e-01,5.10259139413414610494686141250446094e-01,3.27971678658133953600045258575631650e-01,-8.42886163854499195129912264394929880e-01,4.15082267464472410560974552448392798e-01,4.27813896390026739058675486512120032e-01,1.43964819980164655093424466973331567e-01,-1.43050566209182646547509140007916194e-01,-9.14253770982008545915326965415356889e-04,5.64472620915459510904099715844495222e+00,2.24717636587333349158083313553990873e+00,1.67949150217323355834482984137634678e+00
1.69999999999999995559107901499373838e+00,-6.67435659287832744770794538468344756e-02,1.08330132925303325517628937450254808e+00,-1.01655776332424998069920992065571341e+00,-8.96326544828023066073458518702456062e-02,-1.80558451339334625523606840968154637e-01,2.70191105822136932130952692838400340e-01,1.50748016205394843246250620300638505e-01,7.19654168138818918951715751055764879e-02,-2.22713433019276735141422195406215017e-01,-8.28996456902964112607646479965230748e-01,4.07864762165286481576971264106752520e-01,4.21121694737677550803978619075535552e-01,-8.33249694351767786959741298886226828e-01,4.31404001351343614616337546683230575e-01,4.01855693000424126833141526768579444e-01,1.12588187699174498034285253787648832e-01,-1.41132974073886056973509315305955297e-01,2.85447863747115589392240615183064680e-02,5.65298711825735378244672801884007640e+00,2.23798654140527718162816368404674140e+00,1.70839171643184875682814258288027236e+00
1.80000000000000004440892098500626162e+00,-1.49944687334898572392196070783917952e-01,1.11956150709501271464461254379589641e+00,-9.69616819760114142252416473011978743e-01,-1.71425573461025682157897866645886656e-01,-1.37047241448171781038772083017333969e-01,3.08472814909197463196669949663220577e-01,1.60178964567853339209934123461143628e-01,5.79641081530296313962369090280894727e-02,-2.18143072720882970606171032489233173e-01,-8.37496840604882088477552122378841147e-01,3.19450788872573758313367438561976986e-01,5.18036051732308249937488087033921534e-01,-7.98595929458258707331434632710588489e-01,4.37581167075792469448353229800134790e-01,3.61024762382466192372819177476036890e-01,7.50666040360332645398693042030108342e-02,-1.38898293235975174750540080902683740e-01,6.38316891999419102106707766996729178e-02,5.60400518399259484070284997869748622e+00,2.22391026163748241189383084821712206e+00,1.75920499519610915178987730272205354e+00
