x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
9.90823129427823166845454334908902881e-01,-9.46527960092375225388372918847343196e-01,-4.42956437804479392978483103748559680e-02,-2.22268978699491010967448066257875895e-01,2.63222815447494507643684180004340846e-01,-4.09533623030034988354692194331905767e-02,4.10514680903712326975466383178137418e-01,5.25540568157509490543150882827384602e-01,-9.36065249061221772008355040571163856e-01,4.44645287012203377355685470904555494e-01,4.15453565418673265907165404833078021e-01,-8.60088852430876688773113101172068379e-01,4.74443999999999976857623096293536946e-02,1.09801057135427981847897171974182129e-13,6.14108969292089791060820677364704715e-14,8.34108221851959427734462447071390866e-14,6.17046901637171782417645715668186313e-02
9.92971465908447462207919090137781836e-01,-9.43739579693639969716001941100271851e-01,-4.92324133758074900927697595046758104e-02,-2.19922008017960702768269687748258531e-01,2.65407114017373727586617937187476476e-01,-4.54845788384130272174956389720717947e-02,4.04553290036020560195251786678562394e-01,5.32354298048578718444493112171174126e-01,-9.36917588084599233129482673415399012e-01,4.45767994367663825597110389700127808e-01,4.13238604116574530307362441514813037e-01,-8.58996598484238401414735056649383846e-01,5.27159999999999989706012115675548557e-02,1.27009514017117908224463462829589844e-13,8.36209639567773264056413364936272846e-14,7.99381297542227081259046844794156395e-14,6.88650960846533127801549767355027143e-02
9.95088494224775494160114967684516250e-01,-9.40915167095190828853307981118436437e-01,-5.41739070065846626677453131871202304e-02,-2.17569233893846740145115011583310714e-01,2.67579544212248548353559373851956973e-01,-5.00097304414018108475060356476382394e-02,3.98636599951503822938580265417105645e-01,5.39210800152223840391015397599723701e-01,-9.37857400103727617819333437582494148e-01,4.46847272427955368666481709265532479e-01,4.10950522386585124127124193284579253e-01,-8.57787794814540538303868127984547607e-01,5.79876000000000002554401135057560168e-02,1.27897692436818033456802368164062500e-13,8.39277976019219772605799592581607187e-14,7.56770097522659488010183332814464878e-14,7.60879159926170361982755707686010282e-02
9.97174449514408496393588385958716581e-01,-9.38054498072760682248821275964207409e-01,-5.91205840346478112657911527694156291e-02,-2.15210881986318095414831635092904946e-01,2.69739716080052026616945304395437751e-01,-5.45282015007339340810896265276657995e-02,3.92764414862271242733128335666637779e-01,5.46109591101553364662799803910905280e-01,-9.38884005963824561885665914143232802e-01,4.47884362689803414033719759781042534e-01,4.08587613689602526134933487960591771e-01,-8.56461976379405985678915473176057902e-01,6.32592000000000015402790154439571779e-02,1.27564625529430486494675278663635254e-13,1.06903208444145226474452957362322643e-13,6.49098576569260583600272565961826285e-14,8.33735248663173417194016678877233062e-02
9.99229565829568349519713467205917106e-01,-9.35157351073503201079076977162593150e-01,-6.40729000650651453217462489720757068e-02,-2.12847171471987595390499968145358815e-01,2.71887230627230224067699825690304656e-01,-5.90393738462426317960900986162172854e-02,3.86936518923027193697289005635077555e-01,5.53050140497242164966763631385434411e-01,-9.39996659420269313153790411586200265e-01,4.48880483098816203134136014200894141e-01,4.06148154449118007724325246705405580e-01,-8.55018637547934256368723486340730108e-01,6.85308000000000028251179173821583390e-02,1.20792265079217031598091125488281250e-13,1.06016452070265946936479121284171528e-13,7.88066459118952070622342974381469947e-14,9.07222800004773427540172292538045440e-02
1.00125407603371707779309036796201362e+00,-9.32223507467928999601158412955691008e-01,-6.90313065907880748331274300889488679e-02,-2.10478315168794254982025894147553833e-01,2.74021679731323487531821825904729890e-01,-6.35426265375292359086004566745877807e-02,3.81152677119379011164852190848052586e-01,5.60031869387248497362622808079753499e-01,-9.41194546506627463017212773493498909e-01,4.49836828155181856588932891236217671e-01,4.03630404972752823103293304150034768e-01,-8.53457233127934725202488420820686581e-01,7.38024000000000041099568193203595001e-02,1.08579811808340309653431177139282227e-13,1.11027898598619480808789583781541694e-13,8.46807322422762764140550301630310230e-14,9.81345200988715804513162765942979604e-02
1.00324821170278324037422265533796034e+00,-9.29252751809897244212574744550688114e-01,-7.39962506338859925629291020237850905e-02,-2.08104519659276581938426091226119356e-01,2.76142646058608389164338015762869973e-01,-6.80373356583318108246307333003072181e-02,3.75412636127413653759834514643294522e-01,5.67054148731310597822142868818998529e-01,-9.42476784858724206071715158027972587e-01,4.50754569038782236967195854651240583e-01,4.01032610451225859558040884363233203e-01,-8.51777179490008142035498964448945772e-01,7.90740000000000053947957212585606612e-02,1.12354570092065841890871524810791016e-13,1.11020506860235737650479934774325195e-13,8.26223946142124180961014537368933820e-14,1.05610564339221932317336438700294821e-01
1.00521220303084486070705068161667667e+00,-9.26244872104736658729221242097190876e-01,-7.89681743831081981391963469098606160e-02,-2.05725985413138377999065843140002903e-01,2.78249702987216957665546245656954579e-01,-7.25228741170785835051134951266445481e-02,3.69716125144966577759822507522278866e-01,5.74116297852650709737246880097898529e-01,-9.43842422997617241986807162185860975e-01,4.51634853752262131500319501365927743e-01,3.98353002037959414555903317337996118e-01,-8.49977855790221591566485044138406681e-01,8.43456000000000066796346231967618223e-02,1.23123733430929860332980751991271973e-13,1.20108602467258510755515900265005010e-13,1.06010406376364913486649985877159093e-13,1.13150711409922194450317078917578328e-01
1.00714627874012084619425566104941157e+00,-9.23199660085556444460208949926259808e-01,-8.39475148275643976554993346674449544e-02,-2.03342906909016083411139545828308885e-01,2.80342414536166779435987877197036982e-01,-7.69986114541507001033957078245552898e-02,3.64062856695034794389915040647792922e-01,5.81217582879552003725430749081172615e-01,-9.45290439574586752605083564294632843e-01,4.52478807280661254710424437250256710e-01,3.95589798012544501927454037706119295e-01,-8.48058605293205802148140700390840144e-01,8.96171999999999940866857173205062281e-02,1.61759494687885307939723134040832520e-13,9.64877447443787362196167042026351865e-14,9.61761265978375904119828985078348080e-14,1.20755238518635857336569472408882575e-01
1.00905066599512530055214333109852267e+00,-9.20116911497792931052793122842383046e-01,-8.89347033863323651808885479542522747e-02,-2.00955472755363875045092333018302760e-01,2.82420335300752543978123891187483582e-01,-8.14639136563886732514932184711450091e-02,3.58452527401811137872642835661553489e-01,5.88357215179722864156550434202889866e-01,-9.46819742581533956518931044430089283e-01,4.53287531766283544141997695758916053e-01,3.92741205031290142201117727183364511e-01,-8.46018736797573731853377648376746484e-01,9.48887999999999953715246192587073892e-02,1.56208379564759525237604975700378418e-13,7.96521062214941275559777395152690071e-14,1.23440072373069397956806586257552685e-13,1.28424400372893127153517411898064893e-01
