x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
9.00000000000000022204460492503130808e-01,7.01375635993647630962882142097820533e-01,3.74089636973712858085801655982762784e-01,-1.07546527296736048904868379808058351e+00,3.56474400745114868819382678836923409e-01,-2.83261428142955930807642211096990494e-01,-7.32129726021589380117404677399329386e-02,7.07174129326568593347118572185632349e-03,5.12081372039542760246598240808698455e-02,-5.82798784972199619581310098027261750e-02,-9.74072257705626949443538732800208915e-01,1.09344827052843384522859818758726219e+00,-1.19386012822806976011756051569995844e-01,7.88130679803987066517224101874869791e-02,-5.43787932048823208274477862698057300e-01,4.64984864068424456112493227076153368e-01,3.31661218058446458913825224526607804e-02,-1.98194184402276906054718871404467407e-03,-3.11841799618218768308353337386161063e-02,9.29502778645664329282283233624184504e-01,3.16715532292729880750197059584898038e+00,1.20367807529408744111824823561791080e+00
1.00000000000000000000000000000000000e+00,5.98872866852852980478769994866403173e-01,4.84872107678394826359270491144832172e-01,-1.08374497453124780683804048601123496e+00,3.54765548487142898684726844992829218e-01,-3.28060399492045126235108501363914344e-01,-2.67051489950977724496183436289148740e-02,1.09296002281987222607918190729015540e-02,5.02508725830845192350706120130783320e-02,-6.11804728112832414958624310859798800e-02,-1.06763811310675625806718088513729196e+00,1.11449083673937398817320678368146465e+00,-4.68627236326178103327224953271151912e-02,-1.18667956979721071686171013333926784e-01,-3.46449366767165415002945043216053936e-01,4.65127323746886441178853831115563864e-01,4.39317791733592553255063756780783062e-02,-1.70359667628808710713261021815983136e-02,-2.68958124104783842541802734964800047e-02,6.05485202104918407428613136289641261e-02,3.85021687681714417845334458170857871e+00,1.26361658911255717713851563635508375e+00
1.10000000000000008881784197001252323e+00,4.89777726451572046427234700878068691e-01,5.95127337259452376216014033818030796e-01,-1.08490506371102442264324873469609968e+00,3.32115391907726045460849079588233826e-01,-3.51929125980375933683068073187662973e-01,1.98137340726498882222189935994291469e-02,1.58070859577163505434947453034889189e-02,4.78593148729904884855137886040283098e-02,-6.36664008307068390290085339075172407e-02,-1.10409227501674660288857501054749799e+00,1.08046043518671311183752354309833566e+00,2.36218398300334108243548706662195829e-02,-3.34491317927106556798770685811425939e-01,-1.30792077225551828645327709132742419e-01,4.65293395152658339933836169509751452e-01,5.31704617702053079048329021749575144e-02,-3.03433373076019419677734715868552233e-02,-2.28271244626033659370594305881022971e-02,2.57472516081158619982716118101961911e-03,3.88559412204285841497582479543566110e+00,1.36551544735405669671213304098893341e+00
1.19999999999999995559107901499373838e+00,3.79940774808323638092460665527268280e-01,6.99024651978137220476200955187332338e-01,-1.07896542678646085856866162071460100e+00,2.88436223664167575928589597284672103e-01,-3.54791963881933483936306512952030639e-01,6.63557402177659080077169156673585358e-02,2.14433981702945897742596824822531166e-02,4.42964341504312300500615256565059639e-02,-6.57398323207258198243212081387591046e-02,-1.08475117764688437875659572622746003e+00,9.89000935467105088164544986528482253e-01,9.57402421797792103653541429160351841e-02,-5.33564570495320901531603835676527179e-01,6.80618239177862536282765366059732376e-02,4.65512746577534602393065073636137036e-01,5.88422283376043601236596464596759001e-02,-4.02677453923260403378768888347459625e-02,-1.85744829452783197857827576249299406e-02,7.84741684334461342409383632912067696e-01,3.23054263911631122280539538958378263e+00,1.47707709242989235966463594658631526e+00
1.30000000000000004440892098500626162e+00,2.73950453394661059500970326594108710e-01,7.91630634494020550588860189255504330e-01,-1.06558108788868161008983051584961304e+00,2.26866488381956499792123874225340693e-01,-3.39752328595064365799813117405882800e-01,1.12885840213107866007689243180542107e-01,2.74239287787289294327832382047114327e-02,3.99358677597856504846876171951450913e-02,-6.73597965385145799174708553998565360e-02,-1.03193169043246871078838896382412190e+00,8.58808496044206270000056095883627765e-01,1.73113194388262360561636271157551436e-01,-6.89368057627830116386236299500185055e-01,2.24578614663957550558135253787889701e-01,4.64799442963872520317838820277878401e-01,6.00044889378510599309403369610309745e-02,-4.63307487303073864108987729545658007e-02,-1.36737402075436735200415640064651738e-02,2.18332651140039957216032462383736856e+00,2.53804979577848460518804402799506452e+00,1.55119724114883928403935794382594421e+00
1.39999999999999991118215802998747677e+00,1.73710295405843798888135375756442714e-01,8.70339524672492525486844354794779153e-01,-1.04404982007833632437497973055122206e+00,1.52304400393347889371170973017494080e-01,-3.11517023207828513968112770530253915e-01,1.59212622814480624596941797512759835e-01,3.32977116629920654067038767323528344e-02,3.51368673534761477965076216472571340e-02,-6.84345790164682132032114983796099925e-02,-9.74180591852780755284961167009837211e-01,7.14925628167517337590221492966071064e-01,2.59244963685263337468043077260823567e-01,-7.93316251635923079851882648123024910e-01,3.32362331963210739396848146250582072e-01,4.60963919672712294944772276438025885e-01,5.67788679179187011520625970810633008e-02,-4.92099344083323768106050111315420359e-02,-7.56893350958632434145758594952126862e-03,3.42498504236699241598529397379024886e+00,2.16766098647082279717825802000171530e+00,1.59412402815054506872303282131084467e+00
1.50000000000000000000000000000000000e+00,7.85446402884781337794013340277397516e-02,9.34788668854462950545154887381342407e-01,-1.01333330914294108432455622140908216e+00,6.98119791506236912255241729880664211e-02,-2.74662625877864549651205178460997774e-01,2.04850646727240858425681005472931377e-01,3.86487144480395990408656582363067383e-02,3.01624169493527226370770591041200073e-02,-6.88111313973923216779427173404267456e-02,-9.33174015548457030009326950746850885e-01,5.75872738168878778094003094542138235e-01,3.57291277379578171688627259421769879e-01,-8.49042486286821584587004298495387489e-01,3.98812198056332913618922056960044676e-01,4.50240288230488625457820016100926003e-01,4.96134268231210186153752925653291877e-02,-5.00269301358804213762419794234789796e-02,4.13503312759402760866686858149791903e-04,4.10848638695313805868636336526833475e+00,2.03295227114313629329670498358477097e+00,1.61426357600105789339297316492509539e+00
1.60000000000000008881784197001252323e+00,-1.38666187952413051773678147060959799e-02,9.85984449169405185723620105400099605e-01,-9.72117830374163880546252290694003818e-01,-1.61038403933461687677391310044816487e-02,-2.32735372514257999026032912843749575e-01,2.48839212907604167793772043848231176e-01,4.30963214066080408073037640317373395e-02,2.51667893115655944547334712342441630e-02,-6.82631107181736352620372352659815146e-02,-9.20152874459084801755336434113817162e-01,4.50682528087620857769387395021237727e-01,4.69460346371463863759252442309636663e-01,-8.62606222447529835263715737715957265e-01,4.35805401954343231026510450395671382e-01,4.26810820493186558726943061885868882e-01,3.87126817254316932481937409873970440e-02,-4.97732659162451329119399164436868337e-02,1.10605841908134396637461754562897851e-02,4.27955587693807693039360628972644918e+00,1.98194524036739012766298215573117214e+00,1.70375468021574930517206616605949155e+00
1.69999999999999995559107901499373838e+00,-1.06499676675060340172090543804916944e-01,1.02546412615818611540704148488386536e+00,-9.18964449483125775234950941078948606e-01,-1.01396328838000265622946859386732985e-01,-1.88121737977776399417972892906350342e-01,2.89518066815776665040919752293083376e-01,4.62620964328145660834001557365088701e-02,2.02206799515096892600459820940577500e-02,-6.64827763843242553434461378305666081e-02,-9.37308398591926391137587185003183224e-01,3.41524633829714748678199987702727536e-01,5.95773764762211562232690600517513205e-01,-8.36591093168446769992999933093354333e-01,4.54112166788697810481514580002739000e-01,3.82488926379748914001223127656198380e-01,2.39338332180882947140796116691136994e-02,-4.91223790070603658875068649596475961e-02,2.51885457889720711734272532905338937e-02,4.03611166855583047841093957686098292e+00,1.92371516907976938101055612682587341e+00,1.80589393267661317881116895999794070e+00
1.80000000000000004440892098500626162e+00,-2.02152249070312062016841645124253039e-01,1.05477676622380191091369865954167542e+00,-8.52624517153489848896857014417422377e-01,-1.82036104393336639863853139559141979e-01,-1.42268458759904223856832210842221863e-01,3.24304563153240863720685350401363843e-01,4.77462562317672517016351968201635562e-02,1.53424735168114382655468645295578156e-02,-6.30887297485786899671820613497213718e-02,-9.78926219982275654189436895650681762e-01,2.46921345235686164297501581735424851e-01,7.31994874746589409665238717132314331e-01,-7.68895033952531812215964644670112484e-01,4.61682344984323114215883167704646427e-01,3.07222688968208652489819251531049152e-01,5.06631270898949250532506273439408539e-03,-4.84600054416745918060415269589052719e-02,4.33936927326850993007164642245111986e-02,3.41529855002307758393698122745263390e+00,1.77635558160318075496923767815985885e+00,1.91280700756700797863137403099455343e+00
