x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
9.00000000000000022204460492503130808e-01,6.77262551469364671333385102168382946e-01,3.78575737666869375243032311705311374e-01,-1.05583828913623404657641741387369625e+00,3.55051311404081541611541674333436080e-01,-2.93446717187026440554204965545487138e-01,-6.16045942170551010573367087879475640e-02,1.16134117147570377851597775135656022e-02,7.95206963927547878568021319392151784e-02,-9.11341081075118256419619094527809370e-02,-9.90073537145232023872087582388346866e-01,1.08669727186911130598659465309908849e+00,-9.66237347238792821145070707107411570e-02,5.92744693252053726741014761467931589e-02,-5.28608887565364694308182340030985632e-01,4.69334418240159321634080863884194477e-01,5.35412567216657294547530514135706403e-02,-6.32306068084855322362174408418574030e-03,-4.72181960408171762311313073293848157e-02,1.66307443086364270534716069960268214e+00,2.07770990265556781661121862436668819e-15,3.50301729951484879133704237520101741e+00,1.22892869044182128537503805557733684e+00,5.27323201969595180309110299111539491e-01,1.11319556076399377466831578692664362e+00,5.98798829978617320012408540873116185e-01,1.07377037022554563451599342037511425e+00,3.36367553537926485936744541732262016e-01,1.22892869044182128537503805557733684e+00
1.00000000000000000000000000000000000e+00,5.73468515338514690008644150485078388e-01,4.88291671849378291535137696355672372e-01,-1.06176018718789298154378184684075225e+00,3.51227497474877945326301814586165227e-01,-3.36545472432006693682340186246311660e-01,-1.46820250428712516439616283398524216e-02,1.77924815825480985831355014003674121e-02,7.77128509707286303353486553015191108e-02,-9.55053325532767289184841567018867004e-02,-1.07716040117857155983914539923002793e+00,1.09953503040845824547130533112137890e+00,-2.23746292298866856321599318913499052e-02,-1.40623249135003969428504901711920607e-01,-3.28469908217657655287351283049589221e-01,4.69093157352661624715856184761512404e-01,6.98429880041430442001608962090983708e-02,-2.95407644760074037280632625525858415e-02,-4.03022235281356404720976336565124179e-02,1.03342145855849865121456332417437807e+00,2.76972773971033943720372711398089749e-15,4.06393949542312452036958105657124710e+00,1.29057416435366552724534751078439629e+00,6.05989287658090210630032074187459791e-01,1.22781775713507922356016340235580522e+00,6.27621133811205894299953229064026656e-01,1.24087038179184807643252046177661707e+00,2.09914984798798259969891180126562791e-01,1.29057416435366552724534751078439629e+00
1.10000000000000008881784197001252323e+00,4.63751148371429845635821250894086964e-01,5.96609147364052466298138702449599212e-01,-1.06036029573548231193395995334368502e+00,3.26482178867897194096364710718707264e-01,-3.58701523768753972832573533646241064e-01,3.22193449008567787362088229275354726e-02,2.54831398254716235509115848455257247e-02,7.37200352821213010609082101667777855e-02,-9.92031751075929246118197950123037750e-02,-1.10740592370075836468283248979928060e+00,1.05694473043642424247753921246825713e+00,5.04611932643341222052932773310235950e-02,-3.53580878968619009470660690927798947e-01,-1.15395414186348778238855571477814506e-01,4.68976293154967787709516262405616162e-01,8.31952029612232723402591102318424283e-02,-4.95524217659347000310226805039668786e-02,-3.36427811952885723092364297278753811e-02,1.10961552526165263543589389882981777e+00,2.70451786513485556724484971615112503e-15,3.96183376757287055975362109962043540e+00,1.38344098971381734258465589830904472e+00,6.86378466571607738225859597219873037e-01,1.33059355581781755596151481044126708e+00,6.52571512908023952931163770908723692e-01,1.38344098971381734258465589830904472e+00,2.43866598438278968334805871521892283e-01,1.35236273492746895495618140624370377e+00
1.19999999999999995559107901499373838e+00,3.53736921977522589239143790226877647e-01,6.97848518836111566038272756332942803e-01,-1.05158544081363415527741654655981944e+00,2.81213192575063044995261060469531489e-01,-3.60327625726604470624490016972264383e-01,7.91144331515414256292289565027350604e-02,3.42342290358699020699228803839320148e-02,6.79853935642399126701493091295658708e-02,-1.02219622600109814740072189513498126e-01,-1.08583976638024353154271988133182930e+00,9.60067175802722736708696299096776902e-01,1.25772590577520794834023582235052208e-01,-5.45884004742906698509491820116646993e-01,7.70243717298878623543296908829596038e-02,4.68859633013018836155162129233690411e-01,9.06930535103191486294830697777885760e-02,-6.41417441536718831923979331401066839e-02,-2.65513093566472654370851366376816935e-02,1.92078043324008507219957664347020909e+00,3.04592976070086488918571800331500220e-15,3.31116225478176235780744179385632335e+00,1.49070350613452281909511813968756785e+00,7.67435416590653168013157540698369448e-01,1.41810105713222763327083288625062896e+00,6.74077343753800999060715038829430852e-01,1.49070350613452281909511813968756785e+00,4.07718984254182772985716558008262411e-01,1.41740939035255200098708528838003806e+00
1.30000000000000004440892098500626162e+00,2.47528000696782406657517841891387365e-01,7.87465501988739761571699717838487970e-01,-1.03499350268552216822921755972987543e+00,2.18795703653210532001221809057937883e-01,-3.44747529773146833867004474494034607e-01,1.25951826119936301865782665436099251e-01,4.33846205590636401050869210892755744e-02,6.10875723469741058540436721305232804e-02,-1.04472192906037745959130593219799144e-01,-1.03603773377372895182905806638435682e+00,8.28585975134942066018348977765511073e-01,2.07451758638786885810709088618848465e-01,-6.94094034746518946596351679919567975e-01,2.26579965301991715752374238655243482e-01,4.67514069444527230843977441264327623e-01,9.11267249151253203457675761993000373e-02,-7.29106785424299347321647168951913437e-02,-1.82160463726953856136028593041085492e-02,3.19020470157268953848017645213985816e+00,4.14920867278798589663918632301922646e-15,2.71383302042254734365862886791749215e+00,1.56208830713133076075034765384099832e+00,8.49259826691578046442431422807477604e-01,1.48905155271909359768108774118666813e+00,6.92362437791263397301993588626333095e-01,1.56208830713133076075034765384099832e+00,5.82601087836141055049801564180881558e-01,1.48857259601178458702235247833566857e+00
1.39999999999999991118215802998747677e+00,1.46542807314464775766397588664492760e-01,8.63211324120653689848796278664265812e-01,-1.00975413143511846561519386732875850e+00,1.44100619682824055817381562559208685e-01,-3.16591459225932142194626095856950753e-01,1.72490839543108086377244533297744717e-01,5.22298777163772721808051105529326832e-02,5.35582668818325947343386370003196494e-02,-1.05788144598209866915143747553252567e-01,-9.85551647404330403137354155653910223e-01,6.86200600224133419289376666557957012e-01,2.99351047180196983847977489095956726e-01,-7.91457541540604041615724762632744591e-01,3.29145532272457979162478357344976013e-01,4.62312009268146062453246405287771516e-01,8.46759519577099247577001241675700601e-02,-7.70445939709743565236305663984169735e-02,-7.63135798673556823406955776915304978e-03,4.26321901509186018675023888135910966e+00,4.58056287017954744790322456858821204e-15,2.41501387431626098430956511407254006e+00,1.60417017724854826853480652104769484e+00,9.33103878175944465595309537364600313e-01,1.54418434175407331154662359489567520e+00,7.07448098189709673359991887727860864e-01,1.60417017724854826853480652104769484e+00,7.37166369210905610612984043155046374e-01,1.56838964485793644671747476108377051e+00
1.50000000000000000000000000000000000e+00,4.97515071475524354090983360351259716e-02,9.24912211561131035133790342824932121e-01,-9.74663718708683470542888678860058099e-01,6.20889908099329808970959495596293549e-02,-2.80224940203309839200738066376490838e-01,2.18135949393376858303642116816863932e-01,6.01056164655429296545717646241860942e-02,4.57760483233309752310330725546739071e-02,-1.05881664788873904885604837178860146e-01,-9.54704708519955215155112019554614675e-01,5.49701195803486829482526354170277866e-01,4.05003512716468385672585665384341142e-01,-8.41287341192192985012490974188984354e-01,3.92615824034106060351538990438533907e-01,4.48671517158086924660951983750452903e-01,7.17791974573338859098154787029251296e-02,-7.82459459103268586427272787995148637e-02,6.46674845299297273291180009658978375e-03,4.82873864090576987440073253310401924e+00,4.98097377981409582202765137728527392e-15,2.30727438228017822009015996352662484e+00,1.65881442095807422409162649989863416e+00,1.02088454733602235989328255466579799e+00,1.58539396926466538372479143921141523e+00,7.19139288362921135109770548040302193e-01,1.62475687432277917785362261938419848e+00,8.66309084181445107062821541331181790e-01,1.65881442095807422409162649989863416e+00
1.60000000000000008881784197001252323e+00,-4.54070407654353329249656745585406043e-02,9.73619198155272456166964290971169221e-01,-9.28212157389837123241998616412628484e-01,-2.27175978933776567113693802588240536e-02,-2.38987537526181888178756165817471552e-01,2.61705135419559544890125546076298497e-01,6.63690940497387083666841181357089100e-02,3.79578389376151474097273601864276382e-02,-1.04326932987353855776411478322136620e-01,-9.53823816051300898418364925372578577e-01,4.27022755423250749800670282438745084e-01,5.26801060628050148617694642933837345e-01,-8.47772118608949318341510132293744479e-01,4.28453549304691029495540933903201640e-01,4.19318569304258288845969198390545295e-01,5.23624880409823391487862707650337951e-02,-7.79674667054845429047721907156493074e-02,2.56049786645022037559859199506154370e-02,4.86234877754009753303421348391566426e+00,4.56861714864412682582719743936732704e-15,2.25434422512620309652949652645120891e+00,1.76061141965148272451159907125546835e+00,1.11458874758058560407920340143576546e+00,1.61487545219884663278741233095089389e+00,7.26995825792192605569389872194716695e-01,1.62874511669517336349781130664575755e+00,9.72630838639455145385301339053553912e-01,1.76061141965148272451159907125546835e+00
1.69999999999999995559107901499373838e+00,-1.42058615925702185403858624535892742e-01,1.01083662971088603544068490165998712e+00,-8.68778013785183850036826277124093989e-01,-1.06017371012048164907738545725709035e-01,-1.95111494876062115465055821636894948e-01,3.01128865888110280372794367362607004e-01,7.03397422633726265278308455962955393e-02,3.01989299322557944249946528954740323e-02,-1.00538672195628420952825498491769677e-01,-9.83994130241700974694849668429832408e-01,3.19832975692470655564546589556949052e-01,6.64161154549230319130303078872887208e-01,-8.10625083131301068515695536500325362e-01,4.46878443733815421087937301623728978e-01,3.63746639397485647427758234876599081e-01,2.57953572741861235281308906106340310e-02,-7.71834522023270369229926982721210042e-02,5.13880949281409133948618076614869250e-02,4.29929269278695069811391249459120445e+00,4.70204071780979062773091078196649968e-15,2.15156964180462325176324746253888978e+00,1.87220867075583672092964132549372590e+00,1.21570654047087647758958409329143706e+00,1.63462348095656534346326499922237464e+00,7.30302433247196000950624506925844970e-01,1.61634462809559870519530938642696131e+00,1.06092932011465879016006984705760259e+00,1.87220867075583672092964132549372590e+00
1.80000000000000004440892098500626162e+00,-2.42971447675166801874571735676310469e-01,1.03804701886427411892475147545020915e+00,-7.95075571189107317050179739773899184e-01,-1.83209957807229513644141381202485299e-01,-1.49937992780144891359357107215217575e-01,3.33147950587374405003498488417706148e-01,7.12710575675946270082567378763792542e-02,2.25193084586885404138731990395592698e-02,-9.37903660262831674221299369159385992e-02,-1.03674427967000075414227726624745570e+00,2.26434050110887046802129048955556676e-01,8.10310229559113707340148217291901454e-01,-7.24454494212057768873260556720787245e-01,4.55433334109148432771317122829746431e-01,2.69021160102909336101943433891044136e-01,-8.43611430297623070407789246697439582e-03,-7.64446433161024014623388380185432075e-02,8.48807576190786321664167304855175552e-02,3.00550253142212142609679403904010542e+00,4.10306707432775632104893165248336623e-15,1.83991632412705748634244280794864475e+00,1.98794081101662424404045966787012240e+00,1.32461212752776529660425018431316610e+00,1.64623330093221656594244415154293273e+00,7.28085782833460956859581654050679779e-01,1.58273333490384729275421482058669725e+00,1.13616449529136420134543240726837141e+00,1.98794081101662424404045966787012240e+00
