x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
9.00000000000000022204460492503130808e-01,6.85935622580392719175301969471866934e-01,3.86168645845192790450029973172682640e-01,-1.07210426842558550962533194264454938e+00,3.48326891801547294415318285641186616e-01,-2.75439191642522456636460128261935599e-01,-7.28877001590248377788581573792510048e-02,5.56193652282141259394914212986462162e-03,5.08695019733467780096732975977635142e-02,-5.64314384961681906036224397276281298e-02,-1.01490617648619854850034205799706182e+00,1.12057735891559510727071571212069638e+00,-1.21121182429396685596700872178392054e-01,6.44358553539241776230581222286656863e-02,-5.25154186606870260161438524819986123e-01,4.60168331252946059845421779253120799e-01,3.41185261005690313752794085270991750e-02,-5.38475147020080843168610611865238321e-03,-3.01837746303682215426306232095773763e-02,-9.91041458254200757771457119815750048e-01,3.64253944005844049671821167194108463e+00,1.20078094015046458556489076805199553e+00
1.00000000000000000000000000000000000e+00,5.79863393749089142942313375010376120e-01,5.00161451627377344326405002359206262e-01,-1.08002484537646648726871837736958257e+00,3.44354414113949034305650781770341026e-01,-3.17534283232157931861402318187080293e-01,-2.68201308817911024442484635832607331e-02,9.65204322216988516171635176151399072e-03,4.95382679604250445381670560606057679e-02,-5.91903111825949296998834078221197405e-02,-1.10691876169810416848210298492444903e+00,1.13965081670686983245427697177364656e+00,-4.81820550087657907985012049039549314e-02,-1.50257319647531897566750032518911128e-01,-3.11069554259269706259661228915939098e-01,4.60776873906801581133452638096650492e-01,4.66288189671266504869969409966206409e-02,-2.20543747166517401813142533315032791e-02,-2.60244442504749089047200084662479553e-02,-2.31599083236942016039705549701466225e+00,4.62546426246355261167103505026888158e+00,1.26135124421848781171584403962740701e+00
1.10000000000000008881784197001252323e+00,4.67838346701081590679093556685214875e-01,6.12925934982784164914631430274987491e-01,-1.08076428168386575559372498696020237e+00,3.17768292554813117278547693884214469e-01,-3.37075724581636385904487136543381516e-01,1.93074320268232686259394426591670808e-02,1.49162902892963617027369636630205521e-02,4.66296426244682848708223809365235401e-02,-6.15459329137646465735593445995440983e-02,-1.13228681955385221103447065197237377e+00,1.09368859924299229593919832262246310e+00,2.31482203108597882689451112951532774e-02,-3.80848326929786108372544991843495586e-01,-8.11431546717741531221803941874530229e-02,4.61441481601560238801766762692748826e-01,5.71087046330436635851359059059177972e-02,-3.65068263362147517865774380450761656e-02,-2.20518782968289103975957886619722311e-02,-2.22319810524378203009376875343150459e+00,4.49097062619451284260470925180961852e+00,1.40548241855179308075051025194412090e+00
1.19999999999999995559107901499373838e+00,3.56486362741717850013723944463125752e-01,7.17803884405692812012985255465516768e-01,-1.07429024714741066202670919992864271e+00,2.69122803132089822220558043358984559e-01,-3.34627232565115729966037061505696968e-01,6.55044294330259077454790181467123842e-02,2.10193608470724345440317352871033036e-02,4.24767492945164123267715746137595647e-02,-6.34961101415888468708033099008628924e-02,-1.09704032415790481951946590629695989e+00,9.84866572680343895727608122159357417e-01,9.67237514775607969655305660828450749e-02,-5.85005928294916997815541710976546689e-01,1.22398792225498597998054578463115425e-01,4.62057136069418377124528509175231433e-01,6.31195055768944890201467697409028355e-02,-4.67296536656015407357528307611726224e-02,-1.78398519112929468834312597808608037e-02,-6.38472279613071957982128878938965499e-01,3.40680571327280663875340037399848474e+00,1.51236251163641867525891990280546682e+00
1.30000000000000004440892098500626162e+00,2.50474731962131746439039036260698321e-01,8.09714782136286371281983467468577233e-01,-1.06018951409841811772102250372927536e+00,2.02617258084840146071384114636421294e-01,-3.14331470003569959786892559122257054e-01,1.11714211918729813715508444485835759e-01,2.74598225387696110243469488361601946e-02,3.75331491217680102699234922581211273e-02,-6.49929716605376212942704410942813099e-02,-1.03138740659809484236232555250650686e+00,8.39645133881219406941437815704778821e-01,1.76292272716875308594560518746970640e-01,-7.35614434396973639933804906606593795e-01,2.73674506409817335726363991860529107e-01,4.61389927987156281514482291407865098e-01,6.38656684433246048229226901616577475e-02,-5.24188527249532852277650377465684902e-02,-1.28968157183713181941949732162198463e-02,1.69623062996338302976795375798246823e+00,2.49014105646216219870121246724092311e+00,1.57786009370155971561954618227585812e+00
1.39999999999999991118215802998747677e+00,1.51150501496493437350476940198166231e-01,8.86534202370756554632098559285801959e-01,-1.03768470386724999198257549948396819e+00,1.23970551452959833186907041042784301e-01,-2.81663487453044229255880360825692176e-01,1.57692936000084396068973319782907827e-01,3.37305311578414344184327934561024355e-02,3.22046146424974812052464087486671687e-02,-6.59351458003389156236792022047696162e-02,-9.67937108085809671731217620116863490e-01,6.87130914472268107188322044297706832e-01,2.65356193613541437716568357764399118e-01,-8.28593012306002471428186152942202844e-01,3.71160137898285196792524124779930327e-01,4.56882874407717251942703404824072831e-01,5.98570917372862321156164247675058607e-02,-5.46668434324584766938563960349457133e-02,-6.64024830482775402079734953369073414e-03,3.36508828699750650592648071324219927e+00,2.09325040368203268841414197925410044e+00,1.61143786789176907888105694607765489e+00
1.50000000000000000000000000000000000e+00,5.71307803414082601557468122156145250e-02,9.48541693499942077043681061183099085e-01,-1.00567247384135033719942787339871361e+00,3.85934686148110057269001016328357542e-02,-2.41454266451380309224401149596598269e-01,2.02860797836569303497501047963762587e-01,3.93939730143783275224543302548921859e-02,2.67637148283267651938065997059700049e-02,-6.61576878427050927162609299608621788e-02,-9.27653288744106219290565130359405206e-01,5.45349007090277685987695777934431019e-01,3.66854281653828406476542134370216888e-01,-8.71795662152459286994766775692526864e-01,4.26939092578430512853094997772501073e-01,4.44306569574028751448713154581826201e-01,5.18144058080923433296979639635306315e-02,-5.48839157299652615538677343121229517e-02,1.61950992187291962513244954746173360e-03,4.08766167357895082723473478836240247e+00,1.97618884492922793437645664965689797e+00,1.62313341317802601736334564714349636e+00
1.60000000000000008881784197001252323e+00,-3.44136425010989500978896060854545150e-02,9.97224734946693534728862012364664089e-01,-9.62811092445594584630972406279209478e-01,-4.89615956849178688773766723396263325e-02,-1.97153206784267492095101936006488937e-01,2.46114802469185360972478608346115245e-01,4.40666465299564021483729662207852196e-02,2.13553171155083520911363785172517665e-02,-6.54219636454647542395093447380369741e-02,-9.18974392021617837500218475345928490e-01,4.21073659856094379705995827490963740e-01,4.82450732165523330967895429800207307e-01,-8.73098387078320568422633558091337973e-01,4.55177186673632577979136715167132793e-01,4.17371200404687967750538219586005494e-01,4.00541856192899249381854062731180016e-02,-5.41616015062156715908650135828291004e-02,1.26574158869257480536422865085805067e-02,4.17622265231357725490113352861953899e+00,1.93338950989729155305937459098407946e+00,1.71297247960897659472031915161544767e+00
1.69999999999999995559107901499373838e+00,-1.26667765347815590210966439326413153e-01,1.03437699224457935892106553825570788e+00,-9.07709226896763768710099098929294726e-01,-1.34691224198343318060397915316123856e-01,-1.50921919168584845936498376213014395e-01,2.85613143366928163996896291529138251e-01,4.73749560342030361955416086680152701e-02,1.60367676363735465492853512512705276e-02,-6.34117236705765827448269599192858218e-02,-9.41061413844874593862168495016091386e-01,3.14425913919176126742023835172520090e-01,6.11185499925698340293817441788813853e-01,-8.35275481084635974327237505649465036e-01,4.67096271828200279741281141999686926e-01,3.67629209256435671892997740311578519e-01,2.44970380867030919786565190605814818e-02,-5.31673829570023153147449078946434270e-02,2.72203448702992247370510680329313487e-02,3.85858811492209319293777980419690721e+00,1.86915871709129624008700451305342552e+00,1.81616394855457428098028818663066838e+00
1.80000000000000004440892098500626162e+00,-2.22349486166208809513708801711874309e-01,1.06163544387840579224328305701359547e+00,-8.39285957712196982729574255301721063e-01,-2.14607126508840597398497880105581343e-01,-1.03985634748678442145423005985461725e-01,3.18592761257519039543920886091043068e-01,4.89324949549577686152933562038283808e-02,1.08158354503065795559186288172818555e-02,-5.97483304052643481712119850211102363e-02,-9.85498787550523692444798052128951209e-01,2.22617903285211496180340950307826591e-01,7.47430884265312069438129883766367223e-01,-7.56217758513110184654980677163222537e-01,4.70268209212262206934481362729948413e-01,2.85399549300847955027540691095074486e-01,5.05302350238798452894055702014456778e-03,-5.22466575596739403265304354266612666e-02,4.57436340572859571985525576053860902e-02,3.23664769247385863959465268635540269e+00,1.70453272466513502494770294479717717e+00,1.92223409687724894395241241662266171e+00
