x1,x2,x3,x4,x5,x6,x7,x8
-9.96912629141858674348624466299284563e+12,8.45620336875419698779765553808829281e+05,1.04841491132434683208884962368756533e-02,3.58797214161654665076639503240585327e-10,-4.21884749357559485360980033874511719e-15,-1.11022302462515654042363166809082031e-16,4.44089209850062616169452667236328125e-16,9.99200722162640886381268501281738281e-16
-1.04172346785947884801244684829235609e+13,9.76434365343678158010276568745666737e+05,1.18088262531669263566413974331226200e-02,3.85572129779632177815074101090431213e-10,-4.21884749357559485360980033874511719e-15,-2.22044604925031308084726333618164062e-16,6.66133814775093924254179000854492188e-16,6.66133814775093924254179000854492188e-16
-1.10325985149119909214638571757216567e+13,1.11198347928065089370797124956879998e+06,1.32101577070222742094074419583193958e-02,4.12648248904190495522925630211830139e-10,-4.66293670342565746977925300598144531e-15,-2.22044604925031308084726333618164062e-16,2.22044604925031308084726333618164062e-16,6.66133814775093924254179000854492188e-16
-1.20323324867985149898647606582224867e+13,1.25118964470191418545774730830544286e+06,1.46883123186064556975338746269699186e-02,4.40025127446119768137577921152114868e-10,-4.66293670342565746977925300598144531e-15,-1.11022302462515654042363166809082031e-16,6.66133814775093924254179000854492188e-16,6.66133814775093924254179000854492188e-16
-1.34548036354515115890469400223850016e+13,1.39297931006227851659018401875300697e+06,1.62434638357504823602539545390754938e-02,4.67703098472327383205993101000785828e-10,-4.77395900588817312382161617279052734e-15,-1.11022302462515654042363166809082031e-16,6.66133814775093924254179000854492188e-16,6.66133814775093924254179000854492188e-16
-1.45454327491252287449351667171226765e+13,1.53630429418221348279149918170105593e+06,1.78757907418689576672932162182405591e-02,4.95681495848998565634246915578842163e-10,-5.32907051820075139403343200683593750e-15,-2.22044604925031308084726333618164062e-16,9.99200722162640886381268501281738281e-16,7.77156117237609578296542167663574219e-16
-1.47393728137465843567607100812466570e+13,1.68015989734385007800021583079796983e+06,1.95854760820447504343633227108512074e-02,5.23961429799157940578879788517951965e-10,-5.99520433297584531828761100769042969e-15,-1.11022302462515654042363166809082031e-16,6.66133814775093924254179000854492188e-16,6.66133814775093924254179000854492188e-16
-1.43082902807210364423828413507067125e+13,1.82359987356144644348743266704104826e+06,2.13727072837893716794610554643440992e-02,5.52542456233595657977275550365447998e-10,-6.32827124036339228041470050811767578e-15,-1.11022302462515654042363166809082031e-16,6.66133814775093924254179000854492188e-16,1.11022302462515654042363166809082031e-16
-1.37557645412653195427114255074974025e+13,1.96574810174415376411538591838734646e+06,2.32376759726143911066742475668434054e-02,5.81424797196916642860742285847663879e-10,-6.66133814775093924254179000854492188e-15,-5.55111512312578270211815834045410156e-16,2.22044604925031308084726333618164062e-16,2.22044604925031308084726333618164062e-16
-1.33838659411394682746091809918409510e+13,2.10580696787936004549501856075721662e+06,2.51805777825699905747569573577493429e-02,6.10607786555306120135355740785598755e-10,-6.66133814775093924254179000854492188e-15,-5.55111512312578270211815834045410156e-16,4.44089209850062616169452667236328125e-16,2.22044604925031308084726333618164062e-16
-1.32993379109157139855874200105034788e+13,2.24306261329391351860396142114950635e+06,2.72016121618883222055274018202908337e-02,6.40092867598696102504618465900421143e-10,-6.88338275267597055062651634216308594e-15,-5.55111512312578270211815834045410156e-16,6.66133814775093924254179000854492188e-16,6.66133814775093924254179000854492188e-16
